01/07/2021;step.out;tfs_gas_temp_caixa.out1;tfs_gas_temp_cl.out1;tfs_gas_temp_entrada.out1;tfs_gas_temp_saida.out1;tfs_feeder_temp_caixa.out1;tfs_feeder_temp_cl.out1;tfs_feeder_temp_entrada.out1;tfs_feeder_temp_saida.out1;tfs_ve21_temp_caixa.out1;tfs_ve21_temp_cl.out1;tfs_ve21_temp_entrada.out1;tfs_ve21_temp_saida.out1;
01:24:10;1;0.0919284;0;0.00534988;0.000138357;0;-4.07957e-05;-0.00459865;-1.15732e-05;-0.00319816;0;2.81848e-06;3.28422e-06;
01:24:11;1;0.0945914;0;0.00578769;0.000281661;0;-8.35156e-05;-0.00497116;-2.37444e-05;-0.00332554;0;5.73877e-06;6.7046e-06;
01:24:12;1;0.0969791;0;0.00619271;0.00045169;0;-0.000134605;-0.00531546;-3.83455e-05;-0.0034391;0;9.2046e-06;1.0779e-05;
01:24:13;1;0.0993583;0;0.00660783;0.000659373;0;-0.000197483;-0.00566803;-5.63688e-05;-0.00355164;0;1.3439e-05;1.57746e-05;
01:24:14;1;0.101729;0;0.00703272;0.000903541;0;-0.000271969;-0.0060286;-7.7783e-05;-0.00366317;0;1.84185e-05;2.16702e-05;
01:24:15;1;0.104353;0;0.00751591;0.00121624;0;-0.000368129;-0.00643829;-0.000105516;-0.00378593;0;2.47974e-05;2.92509e-05;
01:24:16;1;0.106707;0;0.00796042;0.00153371;0;-0.000466539;-0.00681489;-0.000133986;-0.00389536;0;3.12753e-05;3.69781e-05;
01:24:17;1;0.109051;0;0.00841376;0.0018842;0;-0.00057601;-0.00719868;-0.000165751;-0.00400381;0;3.84286e-05;4.55415e-05;
01:24:18;1;0.111388;0;0.00887565;0.00226664;0;-0.000696371;-0.00758942;-0.00020078;-0.0041113;0;4.62361e-05;5.49211e-05;
01:24:19;1;0.113716;0;0.00934578;0.00268;0;-0.000827452;-0.00798687;-0.000239042;-0.00421781;0;5.46768e-05;6.50976e-05;
01:24:20;1;0.116035;0;0.0098239;0.00312325;0;-0.000969086;-0.0083908;-0.000280508;-0.00432338;0;6.37303e-05;7.60518e-05;
01:24:21;1;0.118347;0;0.0103097;0.00359542;0;-0.00112111;-0.00880099;-0.000325147;-0.004428;0;7.33767e-05;8.77649e-05;
01:24:22;1;0.12065;0;0.010803;0.00409552;0;-0.00128335;-0.0092172;-0.00037293;-0.00453168;0;8.35965e-05;0.000100218;
01:24:23;1;0.122946;0;0.0113034;0.00462263;0;-0.00145565;-0.00963923;-0.000423828;-0.00463443;0;9.43706e-05;0.000113394;
01:24:24;1;0.125233;0;0.0118107;0.0051758;0;-0.00163786;-0.0100669;-0.00047781;-0.00473626;0;0.000105681;0.000127274;
01:24:25;1;0.127512;0;0.0123247;0.00575415;0;-0.0018298;-0.0104999;-0.000534848;-0.00483718;0;0.000117508;0.000141842;
01:24:26;1;0.129782;0;0.0128452;0.00635678;0;-0.00203134;-0.0109381;-0.000594914;-0.00493719;0;0.000129835;0.000157078;
01:24:27;1;0.132045;0;0.0133718;0.00698285;0;-0.0022423;-0.0113813;-0.000657977;-0.00503631;0;0.000142645;0.000172968;
01:24:28;1;0.1343;0;0.0139043;0.00763151;0;-0.00246254;-0.0118294;-0.000724011;-0.00513454;0;0.000155921;0.000189494;
01:24:29;1;0.136547;0;0.0144425;0.00830194;0;-0.00269191;-0.012282;-0.000792985;-0.00523189;0;0.000169645;0.000206639;
01:24:30;1;0.139034;0;0.015047;0.00907142;0;-0.00295729;-0.0127902;-0.00087304;-0.00533904;0;0.000185401;0.000226397;
01:24:31;1;0.141263;0;0.0155966;0.00978521;0;-0.00320543;-0.013252;-0.000948132;-0.00543456;0;0.000200021;0.000244799;
01:24:32;1;0.143485;0;0.0161512;0.0105183;0;-0.00346225;-0.0137179;-0.00102608;-0.00552922;0;0.000215041;0.000263771;
01:24:33;1;0.145945;0;0.016773;0.0113547;0;-0.00375759;-0.0142402;-0.001116;-0.0056334;0;0.00023218;0.000285503;
01:24:34;1;0.14815;0;0.0173375;0.0121263;0;-0.00403223;-0.0147142;-0.00119989;-0.00572628;0;0.000247995;0.00030563;
01:24:35;1;0.150348;0;0.0179064;0.0129149;0;-0.0043151;-0.0151917;-0.00128654;-0.00581833;0;0.000264165;0.000326283;
01:24:36;1;0.152538;0;0.0184795;0.01372;0;-0.00460605;-0.0156727;-0.00137593;-0.00590956;0;0.000280676;0.000347445;
01:24:37;1;0.154962;0;0.0191209;0.014633;0;-0.00493865;-0.0162109;-0.00147845;-0.00600996;0;0.000299403;0.00037154;
01:24:38;1;0.157135;0;0.0197021;0.0154705;0;-0.00524622;-0.0166986;-0.00157355;-0.00609947;0;0.000316588;0.000393733;
01:24:39;1;0.159301;0;0.020287;0.0163224;0;-0.00556146;-0.0171893;-0.00167131;-0.00618817;0;0.000334073;0.000416393;
01:24:40;1;0.161458;0;0.0208752;0.0171881;0;-0.00588423;-0.0176828;-0.0017717;-0.00627608;0;0.000351844;0.000439507;
01:24:41;1;0.163847;0;0.0215326;0.0181653;0;-0.00625153;-0.0182343;-0.0018863;-0.00637284;0;0.000371911;0.000465705;
01:24:42;1;0.165989;0;0.0221275;0.019058;0;-0.00658977;-0.0187333;-0.00199217;-0.00645909;0;0.000390248;0.000489735;
01:24:43;1;0.168123;0;0.0227253;0.0199627;0;-0.00693515;-0.0192347;-0.00210059;-0.00654457;0;0.000408834;0.000514177;
01:24:44;1;0.17025;0;0.0233257;0.0208787;0;-0.00728752;-0.0197384;-0.00221155;-0.00662929;0;0.000427658;0.000539022;
01:24:45;1;0.172604;0;0.0239959;0.0219092;0;-0.00768711;-0.0203007;-0.00233776;-0.00672253;0;0.00044884;0.000567082;
01:24:46;1;0.174715;0;0.0246015;0.0228474;0;-0.00805386;-0.0208089;-0.00245397;-0.00680565;0;0.000468131;0.000592734;
01:24:47;1;0.176818;0;0.0252094;0.0237953;0;-0.00842723;-0.021319;-0.00257262;-0.00688803;0;0.000487627;0.000618751;
01:24:48;1;0.178913;0;0.0258193;0.0247525;0;-0.00880711;-0.0218309;-0.0026937;-0.00696967;0;0.000507317;0.00064512;
01:24:50;1;0.181233;0;0.0264993;0.0258262;0;-0.00923667;-0.0224017;-0.00283106;-0.00705952;0;0.000529411;0.000674819;
01:24:51;1;0.183313;0;0.0271131;0.0268012;0;-0.00962988;-0.0229171;-0.00295718;-0.00713963;0;0.000549479;0.000701897;
01:24:52;1;0.185386;0;0.0277285;0.0277839;0;-0.0100292;-0.0234339;-0.00308565;-0.00721901;0;0.00056971;0.000729294;
01:24:53;1;0.18768;0;0.0284141;0.0288844;0;-0.01048;-0.0240099;-0.00323113;-0.00730639;1.67324e-07;0.000592371;0.000760095;
01:24:54;1;0.189738;0;0.0290325;0.029882;0;-0.0108919;-0.0245296;-0.00336448;-0.00738428;6.00727e-07;0.00061292;0.000788129;
01:24:55;1;0.191787;0;0.0296521;0.0308859;0;-0.0113096;-0.0250505;-0.00350012;-0.00746147;1.29748e-06;0.000633604;0.00081645;
01:24:56;1;0.19383;0;0.0302728;0.0318958;0;-0.011733;-0.0255724;-0.003638;-0.00753797;2.25321e-06;0.000654416;0.000845047;
01:24:57;1;0.195865;0;0.0308945;0.0329112;0;-0.012162;-0.0260954;-0.00377812;-0.00761379;3.46363e-06;0.000675348;0.00087391;
01:24:58;1;0.198118;0;0.0315862;0.0340454;0;-0.012645;-0.0266776;-0.00393638;-0.00769723;5.10206e-06;0.000698735;0.000906281;
01:24:59;1;0.200138;0;0.0322095;0.0350713;0;-0.0130853;-0.0272024;-0.00408113;-0.00777162;6.83622e-06;0.000719892;0.000935676;
01:25:00;1;0.202151;0;0.0328334;0.0361014;0;-0.0135309;-0.027728;-0.00422803;-0.00784535;8.81201e-06;0.000741144;0.000965308;
01:25:01;1;0.204379;0;0.0335271;0.0372507;0;-0.014032;-0.0283127;-0.00439376;-0.00792649;1.12857e-05;0.00076486;0.000998499;
01:25:02;1;0.206377;0;0.0341518;0.0382889;0;-0.0144883;-0.0288395;-0.00454515;-0.00799882;1.37582e-05;0.000786289;0.0010286;
